"



那是真的🐮批




",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,撰写丶传奇
"



小醒目的摩托车了解一下🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🚛🚛🚛🚛🚛🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍全場最佳摩托車🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🚛🚛🚛🚛🚛🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍全場最佳摩托車🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🚛🚛🚛🚛🚛🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍全場最佳摩托車
发自虎扑iPhone客户端



",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,黑挥发画会回
"



引用12楼 @24Lakersgo 发表的:孤存：你们开摩托的时候全是想的这些操作？？而我开摩托的时候什么都不想醒醒：其实我也啥都没想，就是蒙的
发自虎扑Android客户端



",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,我欣依旧
"



键盘越斜越nb，参考兽b🤪
发自虎扑iPhone客户端



",关于键盘摆放问题,沢北l
"



孤存：德国的动物园了解一下
发自虎扑iPhone客户端



",[流言板]PCPI中国邀请赛赛后4AM战队队员及相关赛后微博汇总：真正的绝地求生,愿直白
"



妈的好有钱个个都是苹果x，孤少的也是吗
发自虎扑iPhone客户端



",[流言板]PCPI中国邀请赛赛后4AM战队队员及相关赛后微博汇总：真正的绝地求生,詹姆斯大战小怪兽
"



引用79楼 @释怀了谁的昨天23 发表的:能现场见证自己喜欢的战队夺冠，感觉肯定比我们看直播印象深多了吧！韦酱很平易近人，阿撸和醒目对陌生人放不开，存存日常自闭
发自虎扑iPhone客户端



",pcpi 主裁微博还原4am 夺冠全过程,4AMREFEREE
"



国内第一毫无疑问
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,QQME11
"



我知道你就是来秀照片和工作证的。我一点都不羡慕，真的。
发自手机虎扑 m.hupu.com



",4am夺冠后感想,雷达叔叔真好玩
"



那个牌子上是签名嘛。。
发自虎扑Android客户端



",4am夺冠后感想,wlzzzzz
"



引用41楼 @阿西锅 发表的:所以你的意思是fpp没人帮他们擦屏幕我每天都有自备酒精棉花供选手擦键鼠，其它裁判据我说没有
发自虎扑iPhone客户端



",pcpi 主裁微博还原4am 夺冠全过程,4AMREFEREE
"



这次打的已经很好了，败给了天
发自虎扑Android客户端



",一晚上没睡好。 第一次发帖 ，关于17,隐姓埋名王文成
"



希望所有人看过PCPI决赛的观众，记住这四天来的欢笑、激动、撕喊、失望、甚至泪水。

在柏林为OMG和4AM继续加油!
[ 此帖被JoeyZhang159210在2018-06-04 10:48修改 ]




",PCPI可能是国内迄今办的最好的PUBG邀请赛,JoeyZhang159210
"



所以我QM没打好啊，装你信号屏蔽器！
发自手机虎扑 m.hupu.com



",PCPI可能是国内迄今办的最好的PUBG邀请赛,雷达叔叔真好玩
"



run酱：这是我用过的最流畅的电脑了
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,哈哈哈来来来来来来
"



引用3楼 @哈哈哈ho 发表的:。。为啥说是可能不说满，因为说满了有可能遭到其他平台比赛方的嫉妒
发自虎扑iPhone客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,主持人颜思宇
"



残酷的赛制造就经典，saopppp那个关键的1v4，EH全队，据说EH他们都落泪了吧，这样结束太不甘心了




",PCPI可能是国内迄今办的最好的PUBG邀请赛,晨间之雾
"



虎扑人均文豪
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,张小共
"



有点遗憾因为结婚没有完整的看完直播，很庆幸昨晚的最后一场关注了，结婚最好的礼物。
发自虎扑iPhone客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,万千杂说
"



引用2楼 @JoeyZhang159210 发表的:希望所有人看过PCPI决赛的观众，记住这四天来的欢笑、激动、撕喊、失望、甚至泪水。

在柏林为OMG和4AM继续加油!参与的39支战队，每一个人都是一次宝贵的回忆。感谢这次主办方和工作人员，真🐂🍺
发自虎扑iPhone客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,佛za米兰
"



引用70楼 @如鱼得水liz 发表的:你tpp旺4am啊😂妹子裁判buff了解一下，妹子裁判执裁的队必吃鸡
发自虎扑iPhone客户端



",pcpi 主裁微博还原4am 夺冠全过程,4AMREFEREE
"



引用104楼 @kino1986 发表的:这裁判，最后一把怎么按耐的住啊！！！哈哈哈哈我庆祝了其实，可以看一下回放，但只有半秒左右，否则就要被带节奏啦
发自虎扑iPhone客户端



",pcpi 主裁微博还原4am 夺冠全过程,4AMREFEREE
"



引用22楼 @北疆少年情眷南 发表的:这个裁判有点真实。哈哈😄哈哈哈哈哈哈友军
发自虎扑iPhone客户端



",pcpi 主裁微博还原4am 夺冠全过程,香菜包i
"



引用22楼 @北疆少年情眷南 发表的:这个裁判有点真实。哈哈😄我的天 天秀




",pcpi 主裁微博还原4am 夺冠全过程,JoeyZhang159210
"



引用25楼 @骄傲的萝莉 发表的:这个老哥帅的长得像变胖的永远
发自虎扑Android客户端



",pcpi 主裁微博还原4am 夺冠全过程,plmnkoooo
"



引用4楼 @JoeyZhang159210 发表的:好羡慕这样的粉丝 能在偶像背后看比赛另外话说211团灭4AM那场疯狂20杀，也就是FPP最后一把，这个裁判站在KZ后面4AM逆袭夺冠那一把，也就是TPP最后一把，这个裁判也站在4AM身后这个B，是不是有点什么buff?成了。数一数二buff




",pcpi 主裁微博还原4am 夺冠全过程,lsy961111
"



我还是想说   是孤存和cpt一起卡的ifty   然后aluka卡v5   被v5后面架枪的人打倒   韦神去就人   cpt反手打倒v5那名选手。这个时候ifty过来了   cpt呗soso  大哥两个人集火    孤存先打倒拷人  在打倒大哥    就是   孤存那波发挥最关键   直接奠定胜局
发自虎扑Android客户端



",pcpi 主裁微博还原4am 夺冠全过程,神经中的幻想
"



保前十争前五，最好两队都有鸡。
发自虎扑Android客户端



",4AM和OMG德国前景觉得能多少名合适,猪头肉三块钱一斤
"



我是挺看好两支队伍的，都有国际大赛经验，一个是SLi，一个是PGL，而且成绩都不错。OMG前三，4AM前五吧，乐观一下，冠军也不是不可能，嘿嘿。
发自虎扑Android客户端



",4AM和OMG德国前景觉得能多少名合适,欧阳永叔
"



引用8楼 @Tracy7911 发表的:Omg保5整3   4am保8争5  还有最最重要的一定要正面碾压韩国日本队！加油哈哈哈，想起了老外评价我们的一句话，“中国人的幸福就是过得比邻居好”




",4AM和OMG德国前景觉得能多少名合适,请保持幽默感
"



这俩都有冲击前五的实力和气势。别背包袱就行。
发自虎扑iPhone客户端



",4AM和OMG德国前景觉得能多少名合适,抽象游戏
"



引用10楼 @万千杂说 发表的:有点遗憾因为结婚没有完整的看完直播，很庆幸昨晚的最后一场关注了，结婚最好的礼物。新婚快乐 结婚还看比赛你也是没谁了




",PCPI可能是国内迄今办的最好的PUBG邀请赛,JoeyZhang159210
"



。。为啥说是可能
发自虎扑iPhone客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,哈哈哈ho
"



其他的都好，就说两点：1.兜兜很努力，但是终归技术不扎实，采访感觉就是交差，不太好2.OB视角抓的不好，最后一局，4am，17，VTA，当时我记得切到的战况不激烈，而VTA被灭到刷屏，还是不切其他的都是顶级了！




",PCPI可能是国内迄今办的最好的PUBG邀请赛,丶喵喵酱
"



气不气？哈哈哈哈哈哈哈！！！！！！！！
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,vspn小张
"



小组赛的时候导播的表现其实很差的，决赛的时候确实好多了复盘的时候我记得除了5400，另一个复盘的第一次复盘的时候各种卡顿，莫名其妙的东西，后面好像就没看到几次他复盘了解说的话，就昨晚决赛的那组，有个解说是各种口误整体其实很不错了。决赛时候和小组赛时候对比有很明显的进步了




",PCPI可能是国内迄今办的最好的PUBG邀请赛,行山冬
"



我觉得不需要这么多，只要两点就确保第一了，一个是双败赛制，一个是无延迟服务器。双败赛制保证了每一天不是新一轮开始，各队从零开始打出一个格局，就是一轮结束，有人欢喜有人忧，也就是每一天都是一个阶段，每一天都有看点。无延迟服务器就不说了，以前比赛幻灯片，拼命撞死队友，看的人很扫兴，觉得冠军也没什么含金量。
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,4everSAS20
"



引用7楼 @雷达叔叔真好玩 发表的:所以我QM没打好啊，装你信号屏蔽器！qm线上线下差距太大，pcpi之前的还有17，xq，vta，v5，eop这些队伍实力没得到认可，pcpi之后再也没人去怀疑他们的实力了，不过qm的实力打个问号，也不能说他们开科技了，也许可能那一把是真的状态爆棚吧。
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,情话丶丶丶
"



引用6楼 @晨间之雾 发表的:残酷的赛制造就经典，saopppp那个关键的1v4，EH全队，据说EH他们都落泪了吧，这样结束太不甘心了是的，预赛骚皮的那个极限救主也是绝对的经典。
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,1197宰蜂蜜
"



引用22楼 @北疆少年情眷南 发表的:这个裁判有点真实。哈哈😄哦草，有点真实啊




",pcpi 主裁微博还原4am 夺冠全过程,江山入画V
"



引用1楼 @是小谢SAMA 发表的:都还很年轻，肯定有国际比赛的机会的，未来可期！这游戏每个月下降20%哪还有以后啊，唉
发自虎扑iPhone客户端



",造化弄人，真想在游戏凉以前看17 xq在国际舞台露一手，唉,猪猪只有爱
"



引用2楼 @猪猪只有爱 发表的:这游戏每个月下降20%哪还有以后啊，唉每月下降百分之20是指的：1，每个月新增用户降低百分之20；2，每个月玩家总量降低百分之20；3，每个月老玩家降低百分之20。讲清楚啊？如果是1，那正常；如果是2，凉凉；如果是3，更凉凉。那么，如果是1的话，问题很大麽？
发自虎扑Android客户端



",造化弄人，真想在游戏凉以前看17 xq在国际舞台露一手，唉,皇家威武
"



引用15楼 @皇家威武 发表的:每月下降百分之20是指的：1，每个月新增用户降低百分之20；2，每个月玩家总量降低百分之20；3，每个月老玩家降低百分之20。讲清楚啊？如果是1，那正常；如果是2，凉凉；如果是3，更凉凉。那么，如果是1的话，问题很大麽？2，五月份跌破90万
发自虎扑iPhone客户端



",造化弄人，真想在游戏凉以前看17 xq在国际舞台露一手，唉,猪猪只有爱
"



作为xq粉丝 真得觉得很遗憾 17粉应该会更难过吧 不过从今天的表现确实可以看出来 xq还是存在很多问题 不知道以后还会不会有这样的机会 也许国服出了之后会好一点 粉丝能做的只有一直支持下去了  最后一局比赛时 xq的粉丝群里都在说 这次不想和17手牵手了 17一定要抓住机会去德国啊 可惜还是造化弄人 希望以后有机会 17和完全体的xq可以手牵手去打国际比赛 在这之前 两个队都努力变得更强吧
发自虎扑iPhone客户端



",造化弄人，真想在游戏凉以前看17 xq在国际舞台露一手，唉,荔枝yuan
"



恭喜瞎比搞
发自虎扑Android客户端



",[流言板]NW电子竞技俱乐部发布转会信息：原iDs_Xbg转会至NW,一如既往史来客
"



ids这次跟LGD真的干的昏天暗地。。




",[流言板]NW电子竞技俱乐部发布转会信息：原iDs_Xbg转会至NW,阿伟妥妥的
"



那个兔子侧身人体描边被反杀有点6的
发自虎扑iPhone客户端



",[流言板]NW电子竞技俱乐部发布转会信息：原iDs_Xbg转会至NW,峡谷xg
"



兄弟，我帮你分个段吧，看着眼睛疼，强迫症犯了聊一聊我看这个队伍和韦神的经历吧。（第一段，看韦神直播LOL和龙神小新吃鸡）上一年的上半年韦神在海鲜台播LOL时候，我记得是在LGD基地，每晚几千人气，钻石单排局掌控雷电。后来有一天我忽然看见他在播绝地，当时对这款游戏的印象就只有一个，和H1Z1很像的一款游戏。那天看韦神玩，哇，玩moba的打fps游戏竟然有丶东西。后来那段时间看他和小新，龙神一起玩。当时觉得这个叫longshenjue的人玩的好吊（龙神真的挺厉害的），大晚上听他们口嗨哈哈很舒服。我记得小新在美国有时差，海鲜台的小比赛也没法一起打，而且去了熊猫台，就没怎么见过他了。渐渐成了龙神，韦神，卡帝，醒目的战队（叫什么QG- 忘记了）（第二段，喜欢上了周莉莉）说来很幸运，慢慢我开始关注海鲜台的绝地板块，喜欢上了周莉莉（技术真的圈粉了我），才知道周莉莉和大哥是一个队的，叫ifty。那段时间偶尔韦神队和大哥队几个人也有互动和一起玩的时候，一个平台况且也都认识嘛。真的好怀念那段看韦神单排当校霸四排屠机场的日子（游戏优化还不好，而且新手很多，韦神有实力还有天赋，很厉害）当时看忽然有一天，大哥发微博说转战YY，几天下来，周莉莉谈崩了，仍留在了斗鱼。各种节奏，是非，所谓的黑料都见了一遍。这件事人各有看法，大哥的确是莉莉的恩人，但正如大哥所说人各有志，各有各的现实压力。我对莉莉离开ifty当时更多的是惋惜吧，毕竟那个背锅的TKzhun，莉莉最爱的soso,永远霸气的大哥，技术超强的莉莉才是我心中最好的ifty。难受是一定的。（第三段，韦莉组队）那个时候各个战队说是战队，其实就是几个人，小群体，而已。什么项目经理教练分析师训练室狗屁没有。韦神他的晚上直播人气依然不高就1W左右。很有意思的是，韦神一开始播lol的人气高，玩绝地人气会掉一些。但韦神那段时间很喜欢玩绝地，每天播个不停，水友们就会弹幕刷玩LOL啊猪头，然而水友们看他玩绝地多了却慢慢得被这个玩绝地的韦神也圈了粉。不得不说，海鲜台一哥A+的离开给了韦神一个很好的契机吧，他那段时间虽然表面上看着云淡风轻，但本就有着LOL的足够话题度的他，那段日子直播间标题不分白天黑夜10鸡20鸡几百杀下播的他，晚上10点睡觉醒来早上7点看却还在直播的他，一直播就1000+分钟的他（那段时间的醒酱和阿鲁的直播时长也很恐怖，但最恐怖的我觉得是醒酱吧，我记得有过2000分钟。。），加上海鲜台显然的支持，各大流量小编的推手，自己沉默寡言却也乐观口嗨的性格，他从最差的时候只有千数的观看人数（那时候海鲜台还没有人气值一说），短短半个月不到一个月，成为了绝地求生海鲜台的一哥级人物。你可以说是网瘾少年有什么好吹的，但更实在的真的真的就是他对喜爱的东西的不懈和努力吧，兄弟韦神真的不只是命好。说到这，绕不过这个游戏开挂的各种风波。韦神也是摄手摄屏摄猫（嘻嘻，我也是猫控），在风口浪尖毅力不倒，没办法，没有黑点的地方，你再怎么绞尽脑汁，到头来却是给韦神更火填了一把好流量~~那段时间周莉莉也是从想自己建队最后因为海鲜台背后的撮合说媒，“嫁”到的韦神队里，成为了我心目中最完美的yqhp.。当时觉得舒服极了，我最喜欢的两个人在一个队伍里。（第四段YQHP人气暴涨）喜欢韦神是性格，霸气总裁温柔汉，表面口嗨心里绵。喜欢莉莉多是技术，人狠枪刚杀人狂，心目中第一狙王。总之那段时间，有良好的契机（新游戏，新蛋糕），还不错的比赛成绩，有自己的努力，流量的支持，“乐观”的性格（嘻嘻，还有天籁的歌喉/手动狗头），成就了那个300万人（虽然很多时候人数不真实，但反应的现象级是实实在在的）观看直播，贵族同时在线1500+人（注意，当时可还没有游侠）的7911。熬出头了，熬出头了，韦神做梦都可以这样说。一个刚过二十岁的年轻人，百万甚至上千万的合同，个把月以来翻了几番万数的7911粉丝，蛋糕分配里几乎是最大那一份的流量。火了，大火了。替他开心。阿鲁和醒目虽然不温不火，但作为7911的水友和粉丝，一起嗨皮队伍的粉丝，大家也都爱上了这两个嘤嘤怪。至于莉莉，也算是直播生涯的第二春。很多人不论是看比赛的还是看他们直播的都会感叹哇，这个小黑人（游戏里的莉莉是个俏丽光头黑女郎~）的技术真的好厉害。就这样，年末的亚洲邀请赛（一起嗨皮已成为4AM，了解一哈~），中国的亚洲冠军，大哥的金锅，4AM的银锅，周莉莉的杀人王，韦神的拖孩，战胜韩国的骄傲，成为了无数人永恒的记忆。（第五段，莉莉离队）哪有那么多完美，遗憾的是，因为性格不合（我觉得说到底是性格不合），莉莉离队了。什么技术入股，电竞吕布，一神带三坑什么女友是第二个“UU”，什么多少万薪酬加入股多少，炒作也好，所谓的亲口说过的事实也罢，都不重要，很简单，就是不合了。为什么说嫁呢，好比感情，相处了段时间，各种潜在或者表象上的东西让本是亲近的“爱人”心远了。其实就这么简单，没有了“爱情”，就分手了。如果还有爱，哪一方会在意钱多一丢丢少一丢丢，谁会在意平时战术的争执，只有没有了那份心意那份感情的双方，才会走散。的确能看出来，莉莉在的这几个月，互动比那三个家伙少很多（所以我真有段时间担心孤存能不能融入他们，孤少更是沉默少语）。莉莉离队这件事掀起了巨大节奏，也成为了人们口中眼中莉莉的抹不去的人品黑点。虽然虎牙给出了天价合同，孤存加入了一队，韦神的人气依然不减当初，但谁都知道，韦神给出的一些实锤和话，也是谁都不想他自己都不想的和“前任”互撕。没有好处，只要有这种敏感点，总会有人掀起风浪制造舆论矛盾和节奏。印象最深的就是，莉莉在直播的时候最爱听梁博的男孩了，猪头和直播间的嘤嘤怪没也喜欢上这首歌，一起呜呜呜呜呜呜呜~~，谁知道，成了分开后最能诠释的一首歌：忘不了，你的爱，但结局难更改……（第六段，韦神去虎牙）韦神开启了新的直播之旅，离开了海鲜台（当时海鲜台开挂的各种风波和节奏的确很多），一开始训练赛和比赛战绩不佳，孤存完全不适应团队，到后来的所有人的努力，粉丝的不弃与支持，孤存的实力被大家认可，孤存的融入与成熟，成绩慢慢变好。低迷与磨合期间，少不了嘲讽，辱骂，质疑，但他们都过来了。就凭这一点，他们那不知经历多少煎熬的光明，就值得我尊敬这份坚持。而后就是大家大多数人熟悉的不尽如人意的天命杯，被开挂风波扰乱的新春贺岁杯，有过展现风采的乌克兰邀请赛，有过韦神一战封神的澳洲比赛，4AM在曲折中不断前行，能看到他们的进步，也能看到他们的眼神：夺得一次国内甚至世界赛的冠军。是的他们还没有过一次大赛冠军，一个个亚军的心塞，却更能激发一个人一个队夺冠的欲望。昨天，无数人也见证了那一激动人心的绝境翻盘，领略了竞技游戏的魅力，前几天无数人头上的乌云散了，粉丝们也都憋着一口气，最后的翻盘夺冠，喜大普奔。用韦神常说的两个字就是，成了。不是因为有希望才坚持，而是因为坚持，才有希望。（当然我也很喜欢17的臭小子们，其实看过他们的人都知道，这些人的性格真的很好很好，粉一个队或一个人真的不只是成绩，而是气氛，性格更重要。残酷，惋惜，加油，17已经证明了他们实力，冠军不会不眷顾这群向上积极的臭小子）。泪目了。（第七段，总结）一年多以来，算是个小小的回顾吧。我看直播的时间也没那么多，但喜欢就是喜欢。无言也爱他们。作为一个还算是老粉的观众，没有什么那么多跟他们弹幕互动，没有实地实名去支持过他们，但我就是要说，我不是成绩粉，因为我是脑残粉，因为这，就是我的主队。我喜欢这个队伍，这个团队的每个人，每位选手，老板娘蜜蜂仔，还有肯尼，龙神，他们都是最棒的。永远爱他们。嘤嘤嘤，深情不及久伴，厚爱无需多言。                                                                              ————一位普通大三学子的独白
[ 此帖被JoeyZhang159210在2018-06-04 14:05修改 ]




",@mifengaaa@4AM战队  有句诗很应景，为什么我的眼里常含泪水，因为我爱得深沉,JoeyZhang159210
"



引用一位jr的帖子：Linkin说的很明白，最后一把就是抱着打出风采来的，然后那个桥是他先过，后面是17再后面是fire的队友。他说比赛中走桥如果有人先过，后面的其他队一般都是不会再跟的，但是17抱有侥幸心理，觉得Linkin应该不会下车反打，但是Linkin说最后一把了找到机会就要输出一下，然后直接下车就把大京给打了。本来他们是想吃了17的，但是4AM来包他们屁股把他们灭了，等于是间接把17给救了，所以也谈不上谁占了便宜。。
发自手机虎扑 m.hupu.com



",17毁在最后一局的细节处理上,等等将来的喵
"



我们不怪任何人，也不怪运气这些。只是不甘心懂嘛！理解下吧，那么多粉丝，有暴躁点的正常，想想猪头他们FPP没打好，想想倒数第2局，你们粉丝不是也炸了。相互理解吧。（别被带哥带歪了）其实我们更多的不甘是因为自责，处理的不够细腻，自己没打好而已。17具备冠军的实力，但确实自己没把握住。但下次赛场我们一定会进步，比现在更强大。很多粉丝都哭了，确实难受，难受更多的是因为心疼他们4个那么努力，最后还是差了一点点。你去微博看看他们哭的多难受就知道了。最后，别来安慰了，赛场上亚军是最大的失败者，冠军粉的安慰其实显的会很突兀！另祝愿出国的战队为国争光，一起加油吧。下次赛场见！




",17毁在最后一局的细节处理上,17mrpig
"



最后一局两个队仿佛互换了一样。4AM开始各种刚，17开始缩房子里。
发自虎扑Android客户端



",17毁在最后一局的细节处理上,爱吃猫的鱼丨
"



大哥加油！永不言弃！ 




",各位JRs们，我艾普拉斯又回来了,大猪蹄几
"



引用216楼 @摄影师123 发表的:澳门线下比赛和快手线下比赛参加吗？澳门线下比赛和快手线下比赛参加吗？澳门线下比赛和快手线下比赛参加吗？澳门线下比赛和快手线下比赛参加吗？澳门线下比赛我会上场
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



引用67楼 @U4U4 发表的:大哥，你走了是小火鸡还是郭德纲补位目前应该是烤鸡组合
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



大哥加油，给你点个赞，么么哒
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,小狮子kk
"



没别的 求别退役 哪怕 教练兼队员都行…………




",各位JRs们，我艾普拉斯又回来了,lzm81511
"



引用95楼 @smxwn 发表的:jrs还是有很多真诚的粉丝的 像昨天那个蓝 还有今天这个 https://bbs.hupu.com/22484642-last.html#o我觉的建议真的很不错的 大哥可以看一看已经联系上了
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



引用234楼 @西二小风 发表的:大哥，我想知道第一天打完以后究竟发生了什么，让队伍一蹶不振？是心态崩了？我不觉得我们是技不如人应该是第一天最后一把和第二天第一把，都是因为失误，致命失误，导致连续两把反向。也不能说是我或者某个队员的问题，只能说没有一个人能在此刻站出来，稳定军心，接下来就是4打2omg，4打3xq，被反打，心态爆炸是什么情况？参考4am桥头惨案。只不过我们真的调整得太慢了。
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



引用343楼 @心跳情书 发表的:A+依然是那个生活中让人愿意追随的好大哥不过既然选择走职业电竞这条道路如果还想能有前途的走下去还是要专业一些我们也知道很多人来IFTY是奔着你来的但是俱乐部还是需要成绩来说话的真的不能再这样让有一些人混吃等死下去了我们总看直播的都能看出来一些问题大哥每天和他们在一起难道看不出来么人情方面尤其在国内确实很难处理不过现实逼得你必须有所改变了否则IFTY这块招牌迟早有一天会慢慢冷却提问：1：这次比赛结束后主力阵容保持不变还是会有所改变？2：会否招聘相对职业化的管理人员来进行俱乐部管理？3：对俱乐部战队发展作用不大的人员是否会狠下心删减？4：最后三天的比赛结果能否看出来单核带队弊大于利？如何改进？1.不变2.会招3.删4.培养新指挥
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



引用310楼 @gongdakd 发表的:大哥，比赛打得差的时候会忍不住讲吊你公龟咩我只会讲 你这个哈掉吧
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



引用395楼 @两制Sneaker 发表的:大哥，对不起，是我把克赛那张图片发上去的，当时也没多想，就怕那个楼主不信，后来看到大家的回复和点亮开始慌，结果带了一波节奏，怪我自己没脑子他那个回复确实有问题，我都是说我不看论坛，事后全队嘲讽他。
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



引用428楼 @啊当哟 发表的:1、任劳任怨不一定是最适合的2、雪中送炭很感谢，也不会忘记这份情，但不能一直指望着这块炭3、休息一个月时间，月底去南京能和你比脖子吗？比脖子？你怕是没底气
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



引用393楼 @iFTY年方四十 发表的:提问：1、目前的主力阵容将是：A+、soso、tk、烤人、小火鸡么？2、职业化管理人员的招聘，是否可以让更熟悉市场经营的王大牙主导呢？3、你能做删减的决心，来之不易，后续的人事安排，特别是不让兄弟们寒心的措施，这个月能安排妥当么？4、你能否调整好自己，重新回到指挥位？还是分别试炼他们每个人一段时间呢？前三条你说的都对，调度指挥以后主要是soso承担，我负责一些战斗时机就好了。
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



大哥加油！




",各位JRs们，我艾普拉斯又回来了,花形啊
"



看这个标题我居然以为是高仿




",各位JRs们，我艾普拉斯又回来了,Lyiaung
"



引用468楼 @W1nterr 发表的:大哥想了解一下关于澳门的赛事详情或者哪里可以了解得到，想来现场支持一下过几天会发官博
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



引用445楼 @Ms_Pice 发表的:二队的编制取消 那二队的人又有什么新的安排剩下队员会加入一队，对位轮换
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



大哥加油！avdang永不言弃！
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,科比别走行吗
"



大哥，加油💪
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,SilentBT
"



老板兼选手不容易，希望整理好心情，再创辉煌！




",各位JRs们，我艾普拉斯又回来了,Kane-nash
"



引用451楼 @往事秋刀鱼 发表的:还有个问题，会根据教练制定训练计划去训练吗？我觉得有时候训练的很漫无目的。会zszszszszszs
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



av永不解散（狗头）
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,黑澤冥
"



@APLUSV4BLE 管理、挖掘人才 上面多和龙神他们讨论讨论，互相进步。毕竟你们2个俱乐部的构成差不多，有一些共同点。




",各位JRs们，我艾普拉斯又回来了,遍地的青苔
"



希望把混子VK调离战队，让他专心直播。至于为什么，相信大哥也清楚了




",各位JRs们，我艾普拉斯又回来了,ifty逗妇乳
"



昨天有位管理方面的人，想要在ifty试试，昨天发帖了，很多人推荐。avdang，能帮就这么多。大哥加油💪https://bbs.hupu.com/22481100.html?share_from=kqapp
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,北疆少年情眷南
"



希望就俱乐部诸事做一次全盘审查重新规划好框架规范管理，让制度决定奖惩和人员去留特别希望主力一队能高度职业化上下班打卡，做好数据统计，高淘汰，严管理，打造一支虎狼之师最后说一句，比赛哪怕一直崩下去，也要保持乐观的精神，这样才能让你自己以及关心你的粉丝看到希望




",各位JRs们，我艾普拉斯又回来了,春秋不义刀
"



我刚才都在想，起点都不敢这么写
[ 此帖被IO流在2018-06-03 21:42修改 ]




",话说……这次4am出线,IO流
"



GODV又回到了梦开始的地方。。




",话说……这次4am出线,LLuizZzz
"



那一箭换成了98k
发自虎扑iPhone客户端



",话说……这次4am出线,自在轮回
"



godv,活成天蚕土豆小说主角的男孩，莫欺少年穷




",话说……这次4am出线,水八怪
"



那一箭要来了啊召唤师峡谷到绝地岛
发自虎扑iPhone客户端



",话说……这次4am出线,面面是我的女王
"



我等了三年，就是要等一个机会。我不是要证明我比别人了不起，而是要证明我失去的东西一定要亲手拿回来!




",话说……这次4am出线,我欲成神仙
"



期待柏林把把反向，次次车祸，弹尽粮绝！好吧，我只能帮到这里了！
发自虎扑iPhone客户端



",话说……这次4am出线,IFTY_Win
"



真的假的？ 小说里面敢这么写？？
发自虎扑iPhone客户端



",话说……这次4am出线,kicle
"



17老板请了211没去，氛围不合适，他们还有很多朋友103和其他几个。好像说了改天在聚。
发自虎扑iPhone客户端



",听说17战队赛后请211们吃饭,全场醒目担当
